longitud,latitud,distrito,poblacion
-85.136451,10.951458,San José,8585
-85.059917,10.730482,Bijagua,4642
-85.039531,10.956125,Delicias,4357
-85.317966,11.002153,Dos Ríos,3194
-84.975215,10.876143,Yolillal,3329
-85.040724,10.838508,Canalete,4731
-84.715847,11.032827,Los Chiles,13253
-84.786452,10.891582,Canño Negro,2254
-84.668971,10.850714,El Amparo,5992
-84.678607,10.715707,San Jorge,2673
-84.820873,10.671264,San Rafael,9723
-84.831705,10.744102,Buenavista,1573
-84.862163,10.625983,Cote,867
-84.913837,10.743080,Katira,6285
-84.214570,10.344296,Río Cuarto,10886
-84.219310,10.405189,Santa Rita,5150
-84.184281,10.516092,Santa Isabel,4175
-83.033679,09.994836,Limón,61077
-82.966655,09.739699,Pandora de Valle La Estrella,19062
-83.132778,09.993222,Río Blanco,9114
-83.063488,9.923166,Matama,7128
-83.787303,10.216371,Guápiles,36457
-83.742847,10.208689,Jiménez,11592
-83.785564,10.279731,Rita,24043
-83.752216,10.275141,Roxana,16802
-83.735065,10.360926,Cariari,34172
-83.589473,10.769098,Colorado,3874
-83.805847,10.271724,La Colonia,6007
-83.506366,10.099261,Siquirres,31634
-83.469441,10.104167,Pacuarito,33765
-83.573192,10.091941,Florida,2254
-83.575001,10.150277,Germania,2471
-83.539783,10.124542,El Cairo,6082
-83.600213,10.089369,La Alegría,6306
-82.853885,9.626389,Bratsi,7318
-82.613621,9.505281,Sixaola,8862
-82.842182,9.738885,Cahuita,8293
-82.954760,9.517635,Amubri de Telire,6240
-83.291531,10.076421,Matina,9142
-83.342037,10.085126,Batán,16543
-83.277362,10.059145,Carrandi,12050
-83.681789,10.208949,Guácimo,18325
-83.606502,10.170702,Pocora,6432
-83.605113,10.244111,Río Jiménez,8745
-83.596126,10.334241,Duacarí,6177
-83.919990,09.864175,Cartago,22796
-83.920772,09.872374,Carmen,17425
-83.916667,09.883333,San Nicolás,29130
-83.916002,09.832268,Agua Caliente,35948
-83.949843,09.857835,Guadalupe,16199
-84.036556,09.793201,Corralillo,10608
-83.893962,09.914987,Tierra Blanca,5103
